"login";"id";"node_id";"avatar_url";"gravatar_id";"url";"html_url";"followers_url";"following_url";"gists_url";"starred_url";"subscriptions_url";"organizations_url";"repos_url";"events_url";"received_events_url";"type";"site_admin"
"abignoli";12516687,00;"MDQ6VXNlcjEyNTE2Njg3";"https://avatars1.githubusercontent.com/u/12516687?v=4";"";"https://api.github.com/users/abignoli";"https://github.com/abignoli";"https://api.github.com/users/abignoli/followers";"https://api.github.com/users/abignoli/following{/other_user}";"https://api.github.com/users/abignoli/gists{/gist_id}";"https://api.github.com/users/abignoli/starred{/owner}{/repo}";"https://api.github.com/users/abignoli/subscriptions";"https://api.github.com/users/abignoli/orgs";"https://api.github.com/users/abignoli/repos";"https://api.github.com/users/abignoli/events{/privacy}";"https://api.github.com/users/abignoli/received_events";"User";0
"alextosatto";3879798,00;"MDQ6VXNlcjM4Nzk3OTg=";"https://avatars3.githubusercontent.com/u/3879798?v=4";"";"https://api.github.com/users/alextosatto";"https://github.com/alextosatto";"https://api.github.com/users/alextosatto/followers";"https://api.github.com/users/alextosatto/following{/other_user}";"https://api.github.com/users/alextosatto/gists{/gist_id}";"https://api.github.com/users/alextosatto/starred{/owner}{/repo}";"https://api.github.com/users/alextosatto/subscriptions";"https://api.github.com/users/alextosatto/orgs";"https://api.github.com/users/alextosatto/repos";"https://api.github.com/users/alextosatto/events{/privacy}";"https://api.github.com/users/alextosatto/received_events";"User";0
"AlfioRussoBS";23240818,00;"MDQ6VXNlcjIzMjQwODE4";"https://avatars0.githubusercontent.com/u/23240818?v=4";"";"https://api.github.com/users/AlfioRussoBS";"https://github.com/AlfioRussoBS";"https://api.github.com/users/AlfioRussoBS/followers";"https://api.github.com/users/AlfioRussoBS/following{/other_user}";"https://api.github.com/users/AlfioRussoBS/gists{/gist_id}";"https://api.github.com/users/AlfioRussoBS/starred{/owner}{/repo}";"https://api.github.com/users/AlfioRussoBS/subscriptions";"https://api.github.com/users/AlfioRussoBS/orgs";"https://api.github.com/users/AlfioRussoBS/repos";"https://api.github.com/users/AlfioRussoBS/events{/privacy}";"https://api.github.com/users/AlfioRussoBS/received_events";"User";0
"ambrogio-bendingspoons";9831001,00;"MDQ6VXNlcjk4MzEwMDE=";"https://avatars1.githubusercontent.com/u/9831001?v=4";"";"https://api.github.com/users/ambrogio-bendingspoons";"https://github.com/ambrogio-bendingspoons";"https://api.github.com/users/ambrogio-bendingspoons/followers";"https://api.github.com/users/ambrogio-bendingspoons/following{/other_user}";"https://api.github.com/users/ambrogio-bendingspoons/gists{/gist_id}";"https://api.github.com/users/ambrogio-bendingspoons/starred{/owner}{/repo}";"https://api.github.com/users/ambrogio-bendingspoons/subscriptions";"https://api.github.com/users/ambrogio-bendingspoons/orgs";"https://api.github.com/users/ambrogio-bendingspoons/repos";"https://api.github.com/users/ambrogio-bendingspoons/events{/privacy}";"https://api.github.com/users/ambrogio-bendingspoons/received_events";"User";0
"bolismauro";771999,00;"MDQ6VXNlcjc3MTk5OQ==";"https://avatars3.githubusercontent.com/u/771999?v=4";"";"https://api.github.com/users/bolismauro";"https://github.com/bolismauro";"https://api.github.com/users/bolismauro/followers";"https://api.github.com/users/bolismauro/following{/other_user}";"https://api.github.com/users/bolismauro/gists{/gist_id}";"https://api.github.com/users/bolismauro/starred{/owner}{/repo}";"https://api.github.com/users/bolismauro/subscriptions";"https://api.github.com/users/bolismauro/orgs";"https://api.github.com/users/bolismauro/repos";"https://api.github.com/users/bolismauro/events{/privacy}";"https://api.github.com/users/bolismauro/received_events";"User";0
"bp14";14848796,00;"MDQ6VXNlcjE0ODQ4Nzk2";"https://avatars2.githubusercontent.com/u/14848796?v=4";"";"https://api.github.com/users/bp14";"https://github.com/bp14";"https://api.github.com/users/bp14/followers";"https://api.github.com/users/bp14/following{/other_user}";"https://api.github.com/users/bp14/gists{/gist_id}";"https://api.github.com/users/bp14/starred{/owner}{/repo}";"https://api.github.com/users/bp14/subscriptions";"https://api.github.com/users/bp14/orgs";"https://api.github.com/users/bp14/repos";"https://api.github.com/users/bp14/events{/privacy}";"https://api.github.com/users/bp14/received_events";"User";0
"chiaradepaoli";26380052,00;"MDQ6VXNlcjI2MzgwMDUy";"https://avatars0.githubusercontent.com/u/26380052?v=4";"";"https://api.github.com/users/chiaradepaoli";"https://github.com/chiaradepaoli";"https://api.github.com/users/chiaradepaoli/followers";"https://api.github.com/users/chiaradepaoli/following{/other_user}";"https://api.github.com/users/chiaradepaoli/gists{/gist_id}";"https://api.github.com/users/chiaradepaoli/starred{/owner}{/repo}";"https://api.github.com/users/chiaradepaoli/subscriptions";"https://api.github.com/users/chiaradepaoli/orgs";"https://api.github.com/users/chiaradepaoli/repos";"https://api.github.com/users/chiaradepaoli/events{/privacy}";"https://api.github.com/users/chiaradepaoli/received_events";"User";0
"cipolleschi";11162307,00;"MDQ6VXNlcjExMTYyMzA3";"https://avatars3.githubusercontent.com/u/11162307?v=4";"";"https://api.github.com/users/cipolleschi";"https://github.com/cipolleschi";"https://api.github.com/users/cipolleschi/followers";"https://api.github.com/users/cipolleschi/following{/other_user}";"https://api.github.com/users/cipolleschi/gists{/gist_id}";"https://api.github.com/users/cipolleschi/starred{/owner}{/repo}";"https://api.github.com/users/cipolleschi/subscriptions";"https://api.github.com/users/cipolleschi/orgs";"https://api.github.com/users/cipolleschi/repos";"https://api.github.com/users/cipolleschi/events{/privacy}";"https://api.github.com/users/cipolleschi/received_events";"User";0
"cvandarch";35196717,00;"MDQ6VXNlcjM1MTk2NzE3";"https://avatars3.githubusercontent.com/u/35196717?v=4";"";"https://api.github.com/users/cvandarch";"https://github.com/cvandarch";"https://api.github.com/users/cvandarch/followers";"https://api.github.com/users/cvandarch/following{/other_user}";"https://api.github.com/users/cvandarch/gists{/gist_id}";"https://api.github.com/users/cvandarch/starred{/owner}{/repo}";"https://api.github.com/users/cvandarch/subscriptions";"https://api.github.com/users/cvandarch/orgs";"https://api.github.com/users/cvandarch/repos";"https://api.github.com/users/cvandarch/events{/privacy}";"https://api.github.com/users/cvandarch/received_events";"User";0
"earien";16707680,00;"MDQ6VXNlcjE2NzA3Njgw";"https://avatars3.githubusercontent.com/u/16707680?v=4";"";"https://api.github.com/users/earien";"https://github.com/earien";"https://api.github.com/users/earien/followers";"https://api.github.com/users/earien/following{/other_user}";"https://api.github.com/users/earien/gists{/gist_id}";"https://api.github.com/users/earien/starred{/owner}{/repo}";"https://api.github.com/users/earien/subscriptions";"https://api.github.com/users/earien/orgs";"https://api.github.com/users/earien/repos";"https://api.github.com/users/earien/events{/privacy}";"https://api.github.com/users/earien/received_events";"User";0
"elestefani";36852507,00;"MDQ6VXNlcjM2ODUyNTA3";"https://avatars2.githubusercontent.com/u/36852507?v=4";"";"https://api.github.com/users/elestefani";"https://github.com/elestefani";"https://api.github.com/users/elestefani/followers";"https://api.github.com/users/elestefani/following{/other_user}";"https://api.github.com/users/elestefani/gists{/gist_id}";"https://api.github.com/users/elestefani/starred{/owner}{/repo}";"https://api.github.com/users/elestefani/subscriptions";"https://api.github.com/users/elestefani/orgs";"https://api.github.com/users/elestefani/repos";"https://api.github.com/users/elestefani/events{/privacy}";"https://api.github.com/users/elestefani/received_events";"User";0
"elsBS";40764743,00;"MDQ6VXNlcjQwNzY0NzQz";"https://avatars2.githubusercontent.com/u/40764743?v=4";"";"https://api.github.com/users/elsBS";"https://github.com/elsBS";"https://api.github.com/users/elsBS/followers";"https://api.github.com/users/elsBS/following{/other_user}";"https://api.github.com/users/elsBS/gists{/gist_id}";"https://api.github.com/users/elsBS/starred{/owner}{/repo}";"https://api.github.com/users/elsBS/subscriptions";"https://api.github.com/users/elsBS/orgs";"https://api.github.com/users/elsBS/repos";"https://api.github.com/users/elsBS/events{/privacy}";"https://api.github.com/users/elsBS/received_events";"User";0
"enrimarti";12032073,00;"MDQ6VXNlcjEyMDMyMDcz";"https://avatars2.githubusercontent.com/u/12032073?v=4";"";"https://api.github.com/users/enrimarti";"https://github.com/enrimarti";"https://api.github.com/users/enrimarti/followers";"https://api.github.com/users/enrimarti/following{/other_user}";"https://api.github.com/users/enrimarti/gists{/gist_id}";"https://api.github.com/users/enrimarti/starred{/owner}{/repo}";"https://api.github.com/users/enrimarti/subscriptions";"https://api.github.com/users/enrimarti/orgs";"https://api.github.com/users/enrimarti/repos";"https://api.github.com/users/enrimarti/events{/privacy}";"https://api.github.com/users/enrimarti/received_events";"User";0
"fabiolucini";39261653,00;"MDQ6VXNlcjM5MjYxNjUz";"https://avatars1.githubusercontent.com/u/39261653?v=4";"";"https://api.github.com/users/fabiolucini";"https://github.com/fabiolucini";"https://api.github.com/users/fabiolucini/followers";"https://api.github.com/users/fabiolucini/following{/other_user}";"https://api.github.com/users/fabiolucini/gists{/gist_id}";"https://api.github.com/users/fabiolucini/starred{/owner}{/repo}";"https://api.github.com/users/fabiolucini/subscriptions";"https://api.github.com/users/fabiolucini/orgs";"https://api.github.com/users/fabiolucini/repos";"https://api.github.com/users/fabiolucini/events{/privacy}";"https://api.github.com/users/fabiolucini/received_events";"User";0
"fbertola";8020907,00;"MDQ6VXNlcjgwMjA5MDc=";"https://avatars3.githubusercontent.com/u/8020907?v=4";"";"https://api.github.com/users/fbertola";"https://github.com/fbertola";"https://api.github.com/users/fbertola/followers";"https://api.github.com/users/fbertola/following{/other_user}";"https://api.github.com/users/fbertola/gists{/gist_id}";"https://api.github.com/users/fbertola/starred{/owner}{/repo}";"https://api.github.com/users/fbertola/subscriptions";"https://api.github.com/users/fbertola/orgs";"https://api.github.com/users/fbertola/repos";"https://api.github.com/users/fbertola/events{/privacy}";"https://api.github.com/users/fbertola/received_events";"User";0
"FlorindaFLP";38105339,00;"MDQ6VXNlcjM4MTA1MzM5";"https://avatars1.githubusercontent.com/u/38105339?v=4";"";"https://api.github.com/users/FlorindaFLP";"https://github.com/FlorindaFLP";"https://api.github.com/users/FlorindaFLP/followers";"https://api.github.com/users/FlorindaFLP/following{/other_user}";"https://api.github.com/users/FlorindaFLP/gists{/gist_id}";"https://api.github.com/users/FlorindaFLP/starred{/owner}{/repo}";"https://api.github.com/users/FlorindaFLP/subscriptions";"https://api.github.com/users/FlorindaFLP/orgs";"https://api.github.com/users/FlorindaFLP/repos";"https://api.github.com/users/FlorindaFLP/events{/privacy}";"https://api.github.com/users/FlorindaFLP/received_events";"User";0
"fonesti";28312286,00;"MDQ6VXNlcjI4MzEyMjg2";"https://avatars3.githubusercontent.com/u/28312286?v=4";"";"https://api.github.com/users/fonesti";"https://github.com/fonesti";"https://api.github.com/users/fonesti/followers";"https://api.github.com/users/fonesti/following{/other_user}";"https://api.github.com/users/fonesti/gists{/gist_id}";"https://api.github.com/users/fonesti/starred{/owner}{/repo}";"https://api.github.com/users/fonesti/subscriptions";"https://api.github.com/users/fonesti/orgs";"https://api.github.com/users/fonesti/repos";"https://api.github.com/users/fonesti/events{/privacy}";"https://api.github.com/users/fonesti/received_events";"User";0
"francescopat";791527,00;"MDQ6VXNlcjc5MTUyNw==";"https://avatars3.githubusercontent.com/u/791527?v=4";"";"https://api.github.com/users/francescopat";"https://github.com/francescopat";"https://api.github.com/users/francescopat/followers";"https://api.github.com/users/francescopat/following{/other_user}";"https://api.github.com/users/francescopat/gists{/gist_id}";"https://api.github.com/users/francescopat/starred{/owner}{/repo}";"https://api.github.com/users/francescopat/subscriptions";"https://api.github.com/users/francescopat/orgs";"https://api.github.com/users/francescopat/repos";"https://api.github.com/users/francescopat/events{/privacy}";"https://api.github.com/users/francescopat/received_events";"User";0
"frankdilo";715405,00;"MDQ6VXNlcjcxNTQwNQ==";"https://avatars2.githubusercontent.com/u/715405?v=4";"";"https://api.github.com/users/frankdilo";"https://github.com/frankdilo";"https://api.github.com/users/frankdilo/followers";"https://api.github.com/users/frankdilo/following{/other_user}";"https://api.github.com/users/frankdilo/gists{/gist_id}";"https://api.github.com/users/frankdilo/starred{/owner}{/repo}";"https://api.github.com/users/frankdilo/subscriptions";"https://api.github.com/users/frankdilo/orgs";"https://api.github.com/users/frankdilo/repos";"https://api.github.com/users/frankdilo/events{/privacy}";"https://api.github.com/users/frankdilo/received_events";"User";0
